"Date","SOx","NOx","CO","PM","Source","Year","Quarter","Period"
2016-10-01,849.5,38.68,7.52,0.33,"Unit 4","2016","2016 4Q","2016"
2016-10-03,996.18,37.99,9.13,0.32,"Unit 4","2016","2016 4Q","2016"
2016-10-04,795.95,41.63,7.54,0.33,"Unit 4","2016","2016 4Q","2016"
2016-10-06,929.88,39.91,9.27,0.38,"Unit 4","2016","2016 4Q","2016"
2016-10-08,1026.35,35.64,7.34,0.33,"Unit 4","2016","2016 4Q","2016"
2016-10-09,1032.91,37.01,6.94,0.33,"Unit 4","2016","2016 4Q","2016"
2016-10-10,1141.32,37.02,8.7,0.31,"Unit 4","2016","2016 4Q","2016"
2016-10-11,1095.42,35.76,9.13,0.32,"Unit 4","2016","2016 4Q","2016"
2016-10-12,1180.32,39.42,10.49,0.31,"Unit 4","2016","2016 4Q","2016"
2016-10-13,1265.32,39.39,8.08,0.3,"Unit 4","2016","2016 4Q","2016"
2016-10-14,858.41,37.66,14.28,0.38,"Unit 4","2016","2016 4Q","2016"
2016-10-15,1103.79,39.81,12.98,0.35,"Unit 4","2016","2016 4Q","2016"
2016-10-16,810.89,32.6,4.61,0.32,"Unit 4","2016","2016 4Q","2016"
2016-10-17,925.86,34.99,13.75,0.35,"Unit 4","2016","2016 4Q","2016"
2016-10-18,769.46,34.58,22.69,0.32,"Unit 4","2016","2016 4Q","2016"
2016-10-19,1023.71,38.78,12.23,0.34,"Unit 4","2016","2016 4Q","2016"
2016-10-20,896.54,36.74,7.08,0.4,"Unit 4","2016","2016 4Q","2016"
2016-10-21,1190.31,38.13,15.16,0.36,"Unit 4","2016","2016 4Q","2016"
2016-10-22,1141.43,38.46,16.05,0.35,"Unit 4","2016","2016 4Q","2016"
2016-10-23,798.96,37.86,18.47,0.36,"Unit 4","2016","2016 4Q","2016"
2016-10-25,763.81,37.44,13.31,0.36,"Unit 4","2016","2016 4Q","2016"
2016-10-26,747.09,37.75,9.54,0.35,"Unit 4","2016","2016 4Q","2016"
2016-10-27,930.51,36.55,4.13,0.37,"Unit 4","2016","2016 4Q","2016"
2016-10-28,1000.79,38.63,1.39,0.37,"Unit 4","2016","2016 4Q","2016"
2016-10-29,920.45,36.46,1.18,0.36,"Unit 4","2016","2016 4Q","2016"
2016-11-05,706.18,39.25,0,0.41,"Unit 4","2016","2016 4Q","2016"
2016-11-09,714.48,37.56,0.03,0.45,"Unit 4","2016","2016 4Q","2016"
2016-11-11,701.71,37.7,3.34,0.38,"Unit 4","2016","2016 4Q","2016"
2016-11-21,858.64,37.69,1.13,0.51,"Unit 4","2016","2016 4Q","2016"
2016-11-22,731.68,37.74,0,0.51,"Unit 4","2016","2016 4Q","2016"
2016-11-24,1047.05,37.09,0.05,0.36,"Unit 4","2016","2016 4Q","2016"
2016-11-25,979.15,37.63,0,17.3,"Unit 4","2016","2016 4Q","2016"
2016-11-28,700.35,37,1.55,17.82,"Unit 4","2016","2016 4Q","2016"
2016-12-01,735.74,38,13.97,0.33,"Unit 4","2016","2016 4Q","2016"
2016-12-04,995.21,37.27,0.11,0,"Unit 4","2016","2016 4Q","2016"
2016-12-05,1337.25,37.41,0,0,"Unit 4","2016","2016 4Q","2016"
2016-12-06,1022.99,37.3,0,0,"Unit 4","2016","2016 4Q","2016"
2016-12-07,1056.51,37.66,0,0,"Unit 4","2016","2016 4Q","2016"
2016-12-08,955.83,38.17,0,0,"Unit 4","2016","2016 4Q","2016"
2016-12-09,1018.43,38.18,0.43,0,"Unit 4","2016","2016 4Q","2016"
2016-12-16,700.32,37.96,0.48,0.03,"Unit 4","2016","2016 4Q","2016"
2016-12-20,727.42,37.22,0.51,1.28,"Unit 4","2016","2016 4Q","2016"
2016-12-29,1293.39,37.72,0,4.83,"Unit 4","2016","2016 4Q","2016"
2016-12-30,1426.08,38,0,7.26,"Unit 4","2016","2016 4Q","2016"
2016-12-31,793.48,38.05,0,10.87,"Unit 4","2016","2016 4Q","2016"
2017-01-01,1025.63,34.4,0,15.51,"Unit 4","2017","2017 1Q","2017 1Q"
2017-01-02,1307.94,35.1,0,8.51,"Unit 4","2017","2017 1Q","2017 1Q"
2017-01-03,1307.93,34.29,0,5.62,"Unit 4","2017","2017 1Q","2017 1Q"
2017-01-04,1294.4,34.33,0,8.23,"Unit 4","2017","2017 1Q","2017 1Q"
2017-01-05,876.69,34.9,0,20.29,"Unit 4","2017","2017 1Q","2017 1Q"
2017-01-06,993.04,34.73,1.96,13.53,"Unit 4","2017","2017 1Q","2017 1Q"
2017-01-18,895.73,33.66,3.81,0,"Unit 4","2017","2017 1Q","2017 1Q"
2017-01-19,1263.85,36.57,21.11,0,"Unit 4","2017","2017 1Q","2017 1Q"
2017-01-20,1228.06,34.27,13.11,0,"Unit 4","2017","2017 1Q","2017 1Q"
2017-01-21,1090.31,35.34,10.62,0,"Unit 4","2017","2017 1Q","2017 1Q"
2017-01-31,767.08,35.67,8.84,0,"Unit 4","2017","2017 1Q","2017 1Q"
2017-02-07,742.29,38.26,2.15,0,"Unit 4","2017","2017 1Q","2017 1Q"
2017-02-08,820.58,38.23,1.72,0,"Unit 4","2017","2017 1Q","2017 1Q"
2017-02-10,700.06,39.92,0.74,0,"Unit 4","2017","2017 1Q","2017 1Q"
2017-03-07,771.59,36.2,0,0,"Unit 4","2017","2017 1Q","2017 1Q"
2015-10-09,46.83,3415.98,56.28,1.23,"Unit 3","2015","2015 4Q","2015"
2015-10-10,26.91,3294.33,101.87,1.2,"Unit 3","2015","2015 4Q","2015"
2015-10-11,28.89,2511.62,42.13,1.14,"Unit 3","2015","2015 4Q","2015"
2015-10-12,0.54,1054.19,12.71,1.11,"Unit 3","2015","2015 4Q","2015"
2015-12-12,25.12,145.47,1527.88,0.16,"Unit 1","2015","2015 4Q","2015"
2015-10-10,52.7,415.4,514.79,2.14,"Unit 4","2015","2015 4Q","2015"
2015-11-04,208.31,422.67,1075.77,33.56,"Unit 4","2015","2015 4Q","2015"
